"Item1" "Item2" "Lag" "R"
"1" "Abomination_cape" "Adamant_platebody_(h5)" 22 -0.968438728478461
"2" "Abomination_cape" "Ahrim's_robe_skirt_(broken)" 0 0.990512194527187
"3" "Abomination_cape" "Ahrim's_robe_top_(broken)" 0 0.958656657379682
"4" "Abomination_cape" "Ahrim's_staff_(broken)" 0 0.989317334312986
"5" "Abomination_cape" "Akrisae's_robe_skirt" 0 0.991098875250525
"6" "Abomination_cape" "Akrisae's_robe_skirt_(broken)" 0 0.99715231914905
"7" "Abomination_cape" "Akrisae's_robe_top" 0 0.988526390549395
"8" "Abomination_cape" "Akrisae's_robe_top_(broken)" 0 0.997274823374361
"9" "Abomination_cape" "Ancient_page_1" 0 0.972787301528871
"10" "Abomination_cape" "Ancient_page_2" 0 0.981738700776915
"11" "Abomination_cape" "Ancient_page_3" -6 0.981287321117247
"12" "Abomination_cape" "Ancient_page_4" 0 0.967366165396378
"13" "Abomination_cape" "Apprentice_wand" 22 -0.87678215802512
"14" "Abomination_cape" "Arcane_sigil" 22 -0.735563009206909
"15" "Abomination_cape" "Arcane_sigil_shard" 22 -0.997843860722046
"16" "Abomination_cape" "Armadyl_chestplate_shard" 12 0.705197680387502
"17" "Abomination_cape" "Armadyl_page_1" -6 0.940178302319148
"18" "Abomination_cape" "Armadyl_page_2" -6 0.961865207097089
"19" "Abomination_cape" "Armadyl_page_3" -6 0.967687041597387
"20" "Abomination_cape" "Armadyl_page_4" -6 0.973900353364831
"21" "Abomination_cape" "Bandos_page_1" -6 0.968044374316414
"22" "Abomination_cape" "Bandos_page_2" -6 0.983792494333317
"23" "Abomination_cape" "Bandos_page_3" -6 0.982928746594769
"24" "Abomination_cape" "Bandos_page_4" -6 0.976495547211458
"25" "Abomination_cape" "Barbarian_assault_ticket_-_hard_wave_10" 0 0.968093857120278
"26" "Abomination_cape" "Barbarian_assault_ticket_-_hard_wave_4" -5 0.991361402442757
"27" "Abomination_cape" "Barrows_-_Akrisae's_set" 0 0.995770608756433
"28" "Abomination_cape" "Barrows_-_Karil's_set" 0 0.915396843326323
"29" "Abomination_cape" "Barrows_-_Torag's_set" 0 0.93091185040212
"30" "Abomination_cape" "Barrows_-_Verac's_set" 0 0.894177605030295
"31" "Abomination_cape" "Battle_robe_bottom_0" 0 0.994848189902305
"32" "Abomination_cape" "Battle_robe_top_0" 0 0.968541698802429
"33" "Abomination_cape" "Black_brutal" -5 0.70537851685223
"34" "Abomination_cape" "Black_dragon_mask" 0 0.824899402815663
